1;;A00-B99;Некоторые инфекционные и паразитарные болезни;
2;1;A00-A09;Кишечные инфекции;
3;2;A00;Холера;
4;3;A00.0;Холера, вызванная холерным вибрионом 01, биовар cholerae;
5;3;A00.1;Холера, вызванная холерным вибрионом 01, биовар eltor;
6;3;A00.9;Холера неуточненная;
7;2;A01;Тиф и паратиф;
8;7;A01.0;Брюшной тиф;
9;7;A01.1;Паратиф a;
10;7;A01.2;Паратиф b;
11;7;A01.3;Паратиф c;
12;7;A01.4;Паратиф неуточненный;
13;2;A02;Другие сальмонеллезные инфекции;
14;13;A02.0;Сальмонеллезный энтерит;
15;13;A02.1;Сальмонеллезная септицемия;
16;13;A02.2+;Локализованная сальмонеллезная инфекция;
17;13;A02.8;Другая уточненная сальмонеллезная инфекция;
18;13;A02.9;Сальмонеллезная инфекция неуточненная;
19;2;A03;Шигеллез;
20;19;A03.0;Шигеллез, вызванный shigella dysenteriae;
21;19;A03.1;Шигеллез, вызванный shigella flexneri;
22;19;A03.2;Шигеллез, вызванный shigella boydii;
23;19;A03.3;Шигеллез, вызванный shigella sonnei;
24;19;A03.8;Другой шигеллез;
25;19;A03.9;Шигеллез неуточненный;
26;2;A04;Другие бактериальные кишечные инфекции;
27;26;A04.0;Энтеропатогенная инфекция, вызванная escherichia coli;
28;26;A04.1;Энтеротоксигенная инфекция, вызванная escherichia coli;
29;26;A04.2;Энтероинвазивная инфекция, вызванная escherichia coli;
30;26;A04.3;Энтерогеморрагическая инфекция, вызванная escherichia coli;
31;26;A04.4;Другие кишечные инфекции, вызванные escherichia coli;
32;26;A04.5;Энтерит, вызванный campylobacter;
33;26;A04.6;Энтерит, вызванный yersinia enterocolitica;
34;26;A04.7;Энтероколит, вызванный clostridium difficile;
35;26;A04.8;Другие уточненные бактериальные кишечные инфекции;
36;26;A04.9;Бактериальная кишечная инфекция неуточненная;
37;2;A05;Другие бактериальные пищевые отравления;
38;37;A05.0;Стафилококковое пищевое отравление;
39;37;A05.1;Ботулизм;
40;37;A05.2;Пищевое отравление, вызванное clostridium perfringens;
41;37;A05.3;Пищевое отравление, вызванное vibrio parahaemolyticus;
42;37;A05.4;Пищевое отравление, вызванное bacillus cereus;
